barrio,poligono
121,"[(-58.5578063, -34.4573702),  (-58.5560091, -34.4581016),  (-58.5552035, -34.4584391),  (-58.5548489, -34.4584935),  (-58.5539278, -34.4588973),  (-58.5529138, -34.4593314),  (-58.5536529, -34.4596962),  (-58.5537983, -34.4594681),  (-58.5544630, -34.4590974),  (-58.5546223, -34.4590091),  (-58.5556134, -34.4586468),  (-58.5572971, -34.4594554),  (-58.5579553, -34.4597786),  (-58.5586025, -34.4601107),  (-58.5592556, -34.4604159),  (-58.5598708, -34.4607116),  (-58.5602499, -34.4601842),  (-58.5602945, -34.4601217),  (-58.5603282, -34.4600590),  (-58.5606961, -34.4595495),  (-58.5611197, -34.4589596),  (-58.5604613, -34.4586454),  (-58.5598569, -34.4583544),  (-58.5585941, -34.4577491),  (-58.5584325, -34.4576570),  (-58.5582760, -34.4575831),  (-58.5578063, -34.4573702)]"
122,"[(-58.5530927, -34.4540065),  (-58.5526909, -34.4545877),  (-58.5525403, -34.4548022),  (-58.5522669, -34.4551956),  (-58.5520158, -34.4555621),  (-58.5517980, -34.4558886),  (-58.5512616, -34.4567024),  (-58.5508144, -34.4573912),  (-58.5503125, -34.4581018),  (-58.5497001, -34.4589058),  (-58.5491438, -34.4596112),  (-58.5508651, -34.4604429),  (-58.5513783, -34.4597099),  (-58.5516739, -34.4592897),  (-58.5519584, -34.4588875),  (-58.5529138, -34.4593314),  (-58.5539278, -34.4588973),  (-58.5548489, -34.4584935),  (-58.5552035, -34.4584391),  (-58.5560091, -34.4581016),  (-58.5578063, -34.4573702),  (-58.5577632, -34.4573427),  (-58.5563494, -34.4566635),  (-58.5555618, -34.4562711),  (-58.5551086, -34.4560494),  (-58.5548172, -34.4559108),  (-58.5553632, -34.4551691),  (-58.5546081, -34.4547816),  (-58.5538531, -34.4543941),  (-58.5530927, -34.4540065)]"
123,"[(-58.5485705, -34.4534391),  (-58.5480481, -34.4540729),  (-58.5489760, -34.4545256),  (-58.5499149, -34.4549784),  (-58.5493350, -34.4557918),  (-58.5502522, -34.4562353),  (-58.5509431, -34.4565590),  (-58.5512616, -34.4567024),  (-58.5517980, -34.4558886),  (-58.5520158, -34.4555621),  (-58.5522669, -34.4551956),  (-58.5525403, -34.4548022),  (-58.5526909, -34.4545877),  (-58.5516281, -34.4540703),  (-58.5507108, -34.4536268),  (-58.5497441, -34.4532142),  (-58.5489615, -34.4528489),  (-58.5485705, -34.4534391)]"
124,"[(-58.5645785, -34.4568325),  (-58.5639984, -34.4576640),  (-58.5635971, -34.4582226),  (-58.5636670, -34.4582685),  (-58.5636992, -34.4582959),  (-58.5637312, -34.4583323),  (-58.5637525, -34.4583596),  (-58.5637737, -34.4583959),  (-58.5637948, -34.4584322),  (-58.5638051, -34.4584684),  (-58.5638153, -34.4585046),  (-58.5638256, -34.4585408),  (-58.5638250, -34.4585768),  (-58.5638244, -34.4586129),  (-58.5638237, -34.4586489),  (-58.5638122, -34.4586848),  (-58.5638007, -34.4587207),  (-58.5637784, -34.4587565),  (-58.5637560, -34.4587923),  (-58.5637336, -34.4588281),  (-58.5637224, -34.4588460),  (-58.5636783, -34.4588815),  (-58.5636452, -34.4589082),  (-58.5636121, -34.4589349),  (-58.5635683, -34.4589524),  (-58.5635353, -34.4589700),  (-58.5634915, -34.4589875),  (-58.5634478, -34.4589960),  (-58.5634041, -34.4590045),  (-58.5633605, -34.4590130),  (-58.5633061, -34.4590124),  (-58.5632625, -34.4590119),  (-58.5632190, -34.4590114),  (-58.5631757, -34.4590018),  (-58.5631323, -34.4589923),  (-58.5630998, -34.4589829),  (-58.5626307, -34.4596895),  (-58.5630839, -34.4599111),  (-58.5637639, -34.4602346),  (-58.5652372, -34.4609459),  (-58.5657338, -34.4602217),  (-58.5661576, -34.4596227),  (-58.5665593, -34.4590416),  (-58.5672062, -34.4581207),  (-58.5657603, -34.4574007),  (-58.5645785, -34.4568325)]"
125,"[(-58.5598708, -34.4607116),  (-58.5592556, -34.4604159),  (-58.5586025, -34.4601107),  (-58.5580731, -34.4608391),  (-58.5593633, -34.4614312),  (-58.5599355, -34.4616993),  (-58.5606535, -34.4620278),  (-58.5616891, -34.4625582),  (-58.5621805, -34.4618294),  (-58.5621480, -34.4618200),  (-58.5611443, -34.4613305),  (-58.5598708, -34.4607116)]"
126,"[(-58.5508651, -34.4604429),  (-58.5491438, -34.4596112),  (-58.5490269, -34.4597631),  (-58.5489324, -34.4598791),  (-58.5482099, -34.4607539),  (-58.5476322, -34.4614366),  (-58.5471034, -34.4621198),  (-58.5480426, -34.4625591),  (-58.5489870, -34.4630075),  (-58.5490032, -34.4630167),  (-58.5499155, -34.4634377),  (-58.5499587, -34.4634562),  (-58.5503202, -34.4636317),  (-58.5504606, -34.4636965),  (-58.5508924, -34.4638999),  (-58.5513723, -34.4632071),  (-58.5518527, -34.4624872),  (-58.5523328, -34.4617808),  (-58.5524056, -34.4616645),  (-58.5524617, -34.4615660),  (-58.5525074, -34.4614358),  (-58.5525360, -34.4613595),  (-58.5525431, -34.4612605),  (-58.5508651, -34.4604429)]"
127,"[(-58.5652874, -34.4500581),  (-58.5652226, -34.4500303),  (-58.5641317, -34.4495578),  (-58.5638407, -34.4500321),  (-58.5633037, -34.4508911),  (-58.5642054, -34.4512938),  (-58.5636986, -34.4519774),  (-58.5633765, -34.4523612),  (-58.5633552, -34.4523339),  (-58.5632801, -34.4522699),  (-58.5630708, -34.4521007),  (-58.5629692, -34.4523158),  (-58.5629111, -34.4525315),  (-58.5632674, -34.4526934),  (-58.5628707, -34.4533016),  (-58.5638101, -34.4537273),  (-58.5642122, -34.4531191),  (-58.5642344, -34.4530923),  (-58.5646596, -34.4524123),  (-58.5651075, -34.4516694),  (-58.5655550, -34.4509536),  (-58.5659353, -34.4503451),  (-58.5652874, -34.4500581)]"
128,"[(-58.5693822, -34.4447430),  (-58.5686766, -34.4452845),  (-58.5678054, -34.4459684),  (-58.5678696, -34.4460322),  (-58.5685721, -34.4466263),  (-58.5677836, -34.4472481),  (-58.5670115, -34.4478610),  (-58.5665151, -34.4482562),  (-58.5658801, -34.4488031),  (-58.5660207, -34.4488544),  (-58.5671418, -34.4485115),  (-58.5676172, -34.4483863),  (-58.5681747, -34.4482351),  (-58.5687274, -34.4480478),  (-58.5698913, -34.4477460),  (-58.5702738, -34.4476468),  (-58.5711649, -34.4473913),  (-58.5719897, -34.4478381),  (-58.5720398, -34.4477711),  (-58.5724372, -34.4474332),  (-58.5716389, -34.4467118),  (-58.5708937, -34.4460676),  (-58.5701326, -34.4454007),  (-58.5693822, -34.4447430)]"
129,"[(-58.5750016, -34.4527586),  (-58.5744192, -34.4543743),  (-58.5742691, -34.4548818),  (-58.5734598, -34.4570401),  (-58.5734369, -34.4571075),  (-58.5744471, -34.4575339),  (-58.5751981, -34.4578446),  (-58.5754572, -34.4579648),  (-58.5758821, -34.4572937),  (-58.5763292, -34.4566004),  (-58.5765814, -34.4561662),  (-58.5766993, -34.4559512),  (-58.5771239, -34.4552982),  (-58.5775376, -34.4546450),  (-58.5779512, -34.4539918),  (-58.5769359, -34.4535518),  (-58.5766279, -34.4534266),  (-58.5756556, -34.4530096),  (-58.5750016, -34.4527586)]"
130,"[(-58.5766993, -34.4559512),  (-58.5765814, -34.4561662),  (-58.5763292, -34.4566004),  (-58.5758821, -34.4572937),  (-58.5754572, -34.4579648),  (-58.5751981, -34.4578446),  (-58.5744471, -34.4575339),  (-58.5734369, -34.4571075),  (-58.5729005, -34.4585749),  (-58.5729975, -34.4586302),  (-58.5729167, -34.4588996),  (-58.5747196, -34.4597499),  (-58.5750382, -34.4598888),  (-58.5757451, -34.4602351),  (-58.5758099, -34.4602674),  (-58.5764413, -34.4605722),  (-58.5768893, -34.4607847),  (-58.5772185, -34.4609418),  (-58.5778716, -34.4612559),  (-58.5779688, -34.4613021),  (-58.5786056, -34.4616114),  (-58.5790589, -34.4618285),  (-58.5793126, -34.4619486),  (-58.5800305, -34.4622905),  (-58.5801277, -34.4623367),  (-58.5807431, -34.4626278),  (-58.5812288, -34.4628632),  (-58.5815635, -34.4630204),  (-58.5820048, -34.4623404),  (-58.5823680, -34.4617768),  (-58.5828038, -34.4611058),  (-58.5820258, -34.4607768),  (-58.5816045, -34.4605962),  (-58.5812912, -34.4604618),  (-58.5805566, -34.4601423),  (-58.5798220, -34.4598273),  (-58.5794978, -34.4596884),  (-58.5790656, -34.4595076),  (-58.5784498, -34.4592435),  (-58.5783202, -34.4591879),  (-58.5776124, -34.4588913),  (-58.5774450, -34.4588172),  (-58.5778699, -34.4581461),  (-58.5782948, -34.4574751),  (-58.5787198, -34.4567950),  (-58.5776715, -34.4563726),  (-58.5766993, -34.4559512)]"
131,"[(-58.5769537, -34.4627595),  (-58.5764517, -34.4634837),  (-58.5760055, -34.4641275),  (-58.5770957, -34.4646540),  (-58.5781645, -34.4651622),  (-58.5792656, -34.4656887),  (-58.5797118, -34.4650449),  (-58.5802140, -34.4643117),  (-58.5791236, -34.4637942),  (-58.5780439, -34.4632859),  (-58.5769537, -34.4627595)]"
132,"[(-58.5877333, -34.4659581),  (-58.5872589, -34.4666647),  (-58.5867456, -34.4674159),  (-58.5878361, -34.4679333),  (-58.5889159, -34.4684415),  (-58.5900064, -34.4689589),  (-58.5910753, -34.4694670),  (-58.5921765, -34.4699934),  (-58.5926789, -34.4692421),  (-58.5931856, -34.4685539),  (-58.5920682, -34.4680182),  (-58.5920250, -34.4679997),  (-58.5915660, -34.4677871),  (-58.5910101, -34.4675193),  (-58.5900062, -34.4670255),  (-58.5899146, -34.4669748),  (-58.5888349, -34.4664621),  (-58.5877333, -34.4659581)]"
133,"[(-58.5867456, -34.4674159),  (-58.5862326, -34.4681491),  (-58.5873231, -34.4686665),  (-58.5868716, -34.4693058),  (-58.5872548, -34.4694950),  (-58.5879566, -34.4698276),  (-58.5890472, -34.4703359),  (-58.5901270, -34.4708441),  (-58.5905733, -34.4701913),  (-58.5910753, -34.4694670),  (-58.5900064, -34.4689589),  (-58.5889159, -34.4684415),  (-58.5878361, -34.4679333),  (-58.5867456, -34.4674159)]"
134,"[(-58.5585761, -34.4242813),  (-58.5550035, -34.4264565),  (-58.5530352, -34.4273706),  (-58.5537791, -34.4280735),  (-58.5531961, -34.4284451),  (-58.5532097, -34.4286030),  (-58.5529562, -34.4287983),  (-58.5534229, -34.4291734),  (-58.5533841, -34.4292135),  (-58.5537754, -34.4295516),  (-58.5537257, -34.4295961),  (-58.5538223, -34.4296694),  (-58.5542563, -34.4300486),  (-58.5560568, -34.4316202),  (-58.5568982, -34.4323512),  (-58.5570426, -34.4324926),  (-58.5576751, -34.4330409),  (-58.5583878, -34.4336623),  (-58.5585379, -34.4337902),  (-58.5586505, -34.4338862),  (-58.5593905, -34.4332369),  (-58.5601417, -34.4325697),  (-58.5614183, -34.4313950),  (-58.5613214, -34.4313352),  (-58.5616307, -34.4310594),  (-58.5616915, -34.4310016),  (-58.5618685, -34.4308324),  (-58.5605442, -34.4297171),  (-58.5602073, -34.4290642),  (-58.5595011, -34.4277444),  (-58.5592543, -34.4265968),  (-58.5587300, -34.4241884),  (-58.5585761, -34.4242813)]"
135,"[(-58.5426346, -34.4437420),  (-58.5424482, -34.4438254),  (-58.5417478, -34.4440604),  (-58.5414199, -34.4441466),  (-58.5410647, -34.4442370),  (-58.5394659, -34.4445154),  (-58.5383858, -34.4446873),  (-58.5385685, -34.4448202),  (-58.5370738, -34.4450547),  (-58.5357156, -34.4452637),  (-58.5348597, -34.4453661),  (-58.5341827, -34.4455068),  (-58.5339860, -34.4455540),  (-58.5336309, -34.4456399),  (-58.5349144, -34.4465972),  (-58.5352497, -34.4467093),  (-58.5352244, -34.4469118),  (-58.5363899, -34.4474621),  (-58.5379113, -34.4481924),  (-58.5382397, -34.4480791),  (-58.5389950, -34.4478178),  (-58.5394160, -34.4476966),  (-58.5406593, -34.4475267),  (-58.5423181, -34.4472445),  (-58.5431422, -34.4470921),  (-58.5441464, -34.4469058),  (-58.5443430, -34.4468630),  (-58.5461553, -34.4465060),  (-58.5456936, -34.4461490),  (-58.5448782, -34.4454903),  (-58.5443845, -34.4450969),  (-58.5432883, -34.4443176),  (-58.5430575, -34.4441346),  (-58.5428327, -34.4439246),  (-58.5427631, -34.4438607),  (-58.5426346, -34.4437420)]"
136,"[(-58.5226521, -34.4444486),  (-58.5212425, -34.4447921),  (-58.5174141, -34.4453316),  (-58.5166887, -34.4454355),  (-58.5139240, -34.4455010),  (-58.5167487, -34.4469685),  (-58.5182367, -34.4477301),  (-58.5206089, -34.4489487),  (-58.5217618, -34.4486652),  (-58.5230186, -34.4483514),  (-58.5238765, -34.4481364),  (-58.5241836, -34.4483068),  (-58.5250877, -34.4479347),  (-58.5262275, -34.4474707),  (-58.5277829, -34.4468765),  (-58.5286032, -34.4475624),  (-58.5287481, -34.4476768),  (-58.5288286, -34.4477409),  (-58.5297978, -34.4473830),  (-58.5307311, -34.4481424),  (-58.5314818, -34.4487643),  (-58.5321422, -34.4492635),  (-58.5331750, -34.4499384),  (-58.5333007, -34.4499038),  (-58.5340736, -34.4495706),  (-58.5342100, -34.4495497),  (-58.5348237, -34.4493001),  (-58.5350099, -34.4492258),  (-58.5357880, -34.4489061),  (-58.5371453, -34.4484446),  (-58.5372219, -34.4484185),  (-58.5379113, -34.4481924),  (-58.5363899, -34.4474621),  (-58.5352244, -34.4469118),  (-58.5352497, -34.4467093),  (-58.5349144, -34.4465972),  (-58.5336309, -34.4456399),  (-58.5335600, -34.4456525),  (-58.5330883, -34.4458722),  (-58.5330027, -34.4457901),  (-58.5328686, -34.4456803),  (-58.5332788, -34.4455545),  (-58.5320085, -34.4444711),  (-58.5315045, -34.4446724),  (-58.5303653, -34.4426216),  (-58.5299373, -34.4428328),  (-58.5297101, -34.4430735),  (-58.5282026, -34.4437313),  (-58.5278082, -34.4438843),  (-58.5274027, -34.4440552),  (-58.5265371, -34.4443963),  (-58.5254313, -34.4447931),  (-58.5253911, -34.4449143),  (-58.5249910, -34.4450852),  (-58.5237835, -34.4456881),  (-58.5226521, -34.4444486)]"
137,"[(-58.5290943, -34.4515118),  (-58.5283251, -34.4519442),  (-58.5275667, -34.4523767),  (-58.5306986, -34.4540323),  (-58.5309897, -34.4541846),  (-58.5316261, -34.4545077),  (-58.5319171, -34.4546644),  (-58.5325480, -34.4549875),  (-58.5337559, -34.4556104),  (-58.5346455, -34.4560717),  (-58.5349047, -34.4561875),  (-58.5356584, -34.4557098),  (-58.5364186, -34.4551691),  (-58.5356209, -34.4547404),  (-58.5346983, -34.4542967),  (-58.5337871, -34.4538261),  (-58.5328372, -34.4533865),  (-58.5319204, -34.4529248),  (-58.5309818, -34.4524629),  (-58.5300757, -34.4520103),  (-58.5290943, -34.4515118)]"
138,"[(-58.5734993, -34.4400003),  (-58.5709702, -34.4383799),  (-58.5703249, -34.4389041),  (-58.5701871, -34.4390107),  (-58.5694152, -34.4396146),  (-58.5686593, -34.4402412),  (-58.5678819, -34.4408495),  (-58.5686488, -34.4414940),  (-58.5693832, -34.4421290),  (-58.5701650, -34.4428593),  (-58.5709152, -34.4435260),  (-58.5717263, -34.4428595),  (-58.5725146, -34.4422468),  (-58.5733300, -34.4416433),  (-58.5742943, -34.4405955),  (-58.5735369, -34.4400278),  (-58.5734993, -34.4400003)]"
139,"[(-58.5588166, -34.4444837),  (-58.5588056, -34.4444925),  (-58.5580669, -34.4450562),  (-58.5588287, -34.4456781),  (-58.5589627, -34.4457969),  (-58.5598153, -34.4462035),  (-58.5607981, -34.4466297),  (-58.5618024, -34.4470697),  (-58.5619898, -34.4469277),  (-58.5625737, -34.4465019),  (-58.5633238, -34.4459068),  (-58.5640850, -34.4452938),  (-58.5632167, -34.4445355),  (-58.5625681, -34.4439735),  (-58.5618184, -34.4445506),  (-58.5610193, -34.4451496),  (-58.5603298, -34.4457048),  (-58.5595892, -34.4451102),  (-58.5588166, -34.4444837)]"
140,"[(-58.5569114, -34.4530917),  (-58.5563323, -34.4538646),  (-58.5558756, -34.4544811),  (-58.5553632, -34.4551691),  (-58.5548172, -34.4559108),  (-58.5551086, -34.4560494),  (-58.5555618, -34.4562711),  (-58.5563494, -34.4566635),  (-58.5577632, -34.4573427),  (-58.5582542, -34.4566364),  (-58.5579521, -34.4564841),  (-58.5578961, -34.4559426),  (-58.5577777, -34.4555536),  (-58.5577209, -34.4553772),  (-58.5578771, -34.4551492),  (-58.5579330, -34.4550642),  (-58.5581313, -34.4549224),  (-58.5582801, -34.4548114),  (-58.5591974, -34.4543040),  (-58.5587387, -34.4540868),  (-58.5578225, -34.4535802),  (-58.5576770, -34.4534974),  (-58.5569114, -34.4530917)]"
141,"[(-58.5476637, -34.4530183),  (-58.5469366, -34.4535369),  (-58.5460702, -34.4542387),  (-58.5451918, -34.4546969),  (-58.5443182, -34.4551868),  (-58.5455805, -34.4558102),  (-58.5465247, -34.4562721),  (-58.5474256, -34.4567155),  (-58.5479273, -34.4560184),  (-58.5483960, -34.4553479),  (-58.5489760, -34.4545256),  (-58.5480481, -34.4540729),  (-58.5485705, -34.4534391),  (-58.5476637, -34.4530183)]"
142,"[(-58.5489760, -34.4545256),  (-58.5483960, -34.4553479),  (-58.5479273, -34.4560184),  (-58.5474256, -34.4567155),  (-58.5483759, -34.4571369),  (-58.5493152, -34.4575627),  (-58.5503125, -34.4581018),  (-58.5508144, -34.4573912),  (-58.5512616, -34.4567024),  (-58.5509431, -34.4565590),  (-58.5502522, -34.4562353),  (-58.5493350, -34.4557918),  (-58.5499149, -34.4549784),  (-58.5489760, -34.4545256)]"
143,"[(-58.5611197, -34.4589596),  (-58.5606961, -34.4595495),  (-58.5603282, -34.4600590),  (-58.5602945, -34.4601217),  (-58.5602499, -34.4601842),  (-58.5598708, -34.4607116),  (-58.5611443, -34.4613305),  (-58.5621480, -34.4618200),  (-58.5621805, -34.4618294),  (-58.5629252, -34.4621897),  (-58.5629898, -34.4622265),  (-58.5637022, -34.4625684),  (-58.5644360, -34.4629285),  (-58.5644918, -34.4628481),  (-58.5648598, -34.4623296),  (-58.5652615, -34.4617484),  (-58.5649377, -34.4615914),  (-58.5653505, -34.4610014),  (-58.5652372, -34.4609459),  (-58.5637639, -34.4602346),  (-58.5630839, -34.4599111),  (-58.5626307, -34.4596895),  (-58.5623824, -34.4595694),  (-58.5615406, -34.4591629),  (-58.5611197, -34.4589596)]"
144,"[(-58.5652874, -34.4500581),  (-58.5659353, -34.4503451),  (-58.5655550, -34.4509536),  (-58.5669808, -34.4515652),  (-58.5684986, -34.4522094),  (-58.5688622, -34.4516233),  (-58.5692424, -34.4510238),  (-58.5695795, -34.4503968),  (-58.5693637, -34.4502951),  (-58.5681323, -34.4497670),  (-58.5667009, -34.4491598),  (-58.5662637, -34.4489609),  (-58.5657645, -34.4495184),  (-58.5652874, -34.4500581)]"
145,"[(-58.5707047, -34.4558858),  (-58.5700288, -34.4565944),  (-58.5693870, -34.4572179),  (-58.5688637, -34.4579148),  (-58.5683828, -34.4586753),  (-58.5693434, -34.4591373),  (-58.5704229, -34.4596457),  (-58.5709360, -34.4589125),  (-58.5714270, -34.4581972),  (-58.5717127, -34.4573983),  (-58.5720493, -34.4564784),  (-58.5713744, -34.4561775),  (-58.5707047, -34.4558858)]"
146,"[(-58.5720398, -34.4477711),  (-58.5719897, -34.4478381),  (-58.5711649, -34.4473913),  (-58.5702738, -34.4476468),  (-58.5698913, -34.4477460),  (-58.5687274, -34.4480478),  (-58.5681747, -34.4482351),  (-58.5676172, -34.4483863),  (-58.5671418, -34.4485115),  (-58.5660207, -34.4488544),  (-58.5662637, -34.4489609),  (-58.5667009, -34.4491598),  (-58.5681323, -34.4497670),  (-58.5693637, -34.4502951),  (-58.5695795, -34.4503968),  (-58.5707892, -34.4509248),  (-58.5709620, -34.4509989),  (-58.5719773, -34.4514434),  (-58.5720744, -34.4514896),  (-58.5724633, -34.4516564),  (-58.5728650, -34.4510662),  (-58.5732777, -34.4504761),  (-58.5736793, -34.4498949),  (-58.5740809, -34.4493137),  (-58.5743490, -34.4489022),  (-58.5729138, -34.4482004),  (-58.5720398, -34.4477711)]"
147,"[(-58.5959416, -34.4667783),  (-58.5947051, -34.4662053),  (-58.5936246, -34.4657421),  (-58.5933624, -34.4661267),  (-58.5931114, -34.4664934),  (-58.5928163, -34.4668911),  (-58.5923032, -34.4676333),  (-58.5920682, -34.4680182),  (-58.5931856, -34.4685539),  (-58.5942384, -34.4690527),  (-58.5953289, -34.4695700),  (-58.5967168, -34.4702079),  (-58.5980461, -34.4707640),  (-58.5986461, -34.4710052),  (-58.5987070, -34.4709428),  (-58.5987961, -34.4708267),  (-58.5989125, -34.4706973),  (-58.5992334, -34.4703810),  (-58.5993385, -34.4702785),  (-58.5995210, -34.4701049),  (-58.5998960, -34.4698072),  (-58.5999521, -34.4697042),  (-58.6000736, -34.4696019),  (-58.6000694, -34.4695253),  (-58.6000644, -34.4694982),  (-58.6000562, -34.4693403),  (-58.6000516, -34.4692862),  (-58.6000475, -34.4692050),  (-58.6000307, -34.4689074),  (-58.5999832, -34.4688212),  (-58.5998986, -34.4686760),  (-58.5997662, -34.4684537),  (-58.5997239, -34.4683811),  (-58.5996551, -34.4682631),  (-58.5995282, -34.4680453),  (-58.5995176, -34.4680272),  (-58.5994913, -34.4679728),  (-58.5959416, -34.4667783)]"
148,"[(-58.5840711, -34.4566227),  (-58.5836846, -34.4572762),  (-58.5832708, -34.4579384),  (-58.5828572, -34.4585916),  (-58.5823224, -34.4583601),  (-58.5817877, -34.4581286),  (-58.5812639, -34.4578926),  (-58.5807455, -34.4576613),  (-58.5802217, -34.4574253),  (-58.5797141, -34.4571986),  (-58.5792887, -34.4579012),  (-58.5797749, -34.4581097),  (-58.5803097, -34.4583367),  (-58.5799226, -34.4590263),  (-58.5809813, -34.4594803),  (-58.5820294, -34.4599251),  (-58.5820942, -34.4599529),  (-58.5832339, -34.4604438),  (-58.5836699, -34.4597593),  (-58.5840886, -34.4591287),  (-58.5844917, -34.4584574),  (-58.5848945, -34.4578040),  (-58.5851913, -34.4573027),  (-58.5852975, -34.4571372),  (-58.5840711, -34.4566227)]"
149,"[(-58.5931856, -34.4685539),  (-58.5926789, -34.4692421),  (-58.5921765, -34.4699934),  (-58.5932563, -34.4705016),  (-58.5943578, -34.4710191),  (-58.5949950, -34.4713148),  (-58.5954530, -34.4712570),  (-58.5969145, -34.4710755),  (-58.5974277, -34.4709732),  (-58.5979512, -34.4709116),  (-58.5980461, -34.4707640),  (-58.5967168, -34.4702079),  (-58.5953289, -34.4695700),  (-58.5942384, -34.4690527),  (-58.5931856, -34.4685539)]"
150,"[(-58.5382397, -34.4480791),  (-58.5379113, -34.4481924),  (-58.5372219, -34.4484185),  (-58.5371453, -34.4484446),  (-58.5357880, -34.4489061),  (-58.5350099, -34.4492258),  (-58.5348237, -34.4493001),  (-58.5342100, -34.4495497),  (-58.5340736, -34.4495706),  (-58.5333007, -34.4499038),  (-58.5338509, -34.4501718),  (-58.5347734, -34.4506200),  (-58.5356960, -34.4510592),  (-58.5366021, -34.4515118),  (-58.5377887, -34.4521028),  (-58.5380476, -34.4522321),  (-58.5389151, -34.4517783),  (-58.5389920, -34.4517386),  (-58.5392709, -34.4513454),  (-58.5383377, -34.4508835),  (-58.5387010, -34.4503290),  (-58.5388345, -34.4501594),  (-58.5393139, -34.4494981),  (-58.5398045, -34.4488189),  (-58.5382397, -34.4480791)]"
151,"[(-58.5398045, -34.4488189),  (-58.5393139, -34.4494981),  (-58.5388345, -34.4501594),  (-58.5387010, -34.4503290),  (-58.5383377, -34.4508835),  (-58.5392709, -34.4513454),  (-58.5389920, -34.4517386),  (-58.5389151, -34.4517783),  (-58.5380476, -34.4522321),  (-58.5391102, -34.4527586),  (-58.5401868, -34.4518611),  (-58.5402309, -34.4518255),  (-58.5405505, -34.4515950),  (-58.5411209, -34.4513314),  (-58.5421193, -34.4508566),  (-58.5425142, -34.4506720),  (-58.5429991, -34.4503173),  (-58.5416717, -34.4496885),  (-58.5412347, -34.4494805),  (-58.5407328, -34.4492446),  (-58.5398045, -34.4488189)]"
152,"[(-58.5603947, -34.4393825),  (-58.5596175, -34.4399773),  (-58.5588508, -34.4405947),  (-58.5595689, -34.4412251),  (-58.5602865, -34.4418870),  (-58.5609610, -34.4425214),  (-58.5610414, -34.4425945),  (-58.5611059, -34.4426358),  (-58.5619001, -34.4420052),  (-58.5626994, -34.4413881),  (-58.5626405, -34.4413334),  (-58.5625923, -34.4412922),  (-58.5618633, -34.4406572),  (-58.5611723, -34.4400361),  (-58.5603947, -34.4393825)]"
153,"[(-58.5657654, -34.4389634),  (-58.5650098, -34.4395720),  (-58.5642655, -34.4401491),  (-58.5634768, -34.4407843),  (-58.5642164, -34.4414330),  (-58.5649561, -34.4420726),  (-58.5656204, -34.4426708),  (-58.5663655, -34.4420486),  (-58.5671591, -34.4414450),  (-58.5678819, -34.4408495),  (-58.5671530, -34.4402100),  (-58.5664350, -34.4395707),  (-58.5657654, -34.4389634)]"
154,"[(-58.5634768, -34.4407843),  (-58.5626994, -34.4413881),  (-58.5619001, -34.4420052),  (-58.5611059, -34.4426358),  (-58.5603782, -34.4431996),  (-58.5603451, -34.4432262),  (-58.5595782, -34.4438527),  (-58.5588166, -34.4444837),  (-58.5595892, -34.4451102),  (-58.5603298, -34.4457048),  (-58.5610193, -34.4451496),  (-58.5618184, -34.4445506),  (-58.5625681, -34.4439735),  (-58.5618398, -34.4433024),  (-58.5626557, -34.4426721),  (-58.5634385, -34.4420683),  (-58.5642164, -34.4414330),  (-58.5634768, -34.4407843)]"
155,"[(-58.5533419, -34.4487050),  (-58.5522572, -34.4494583),  (-58.5521821, -34.4493943),  (-58.5513779, -34.4499662),  (-58.5515221, -34.4501211),  (-58.5515916, -34.4501940),  (-58.5518329, -34.4503997),  (-58.5527497, -34.4508657),  (-58.5536446, -34.4513405),  (-58.5545986, -34.4518611),  (-58.5554178, -34.4523124),  (-58.5561513, -34.4526861),  (-58.5567023, -34.4519671),  (-58.5572145, -34.4512881),  (-58.5566534, -34.4510110),  (-58.5565889, -34.4509652),  (-58.5564921, -34.4509010),  (-58.5563308, -34.4507909),  (-58.5556301, -34.4504131),  (-58.5547678, -34.4499342),  (-58.5541244, -34.4493857),  (-58.5535027, -34.4488466),  (-58.5533419, -34.4487050)]"
